Wafer#2 7.8mils thick EE535,
Wavelength (nm),T
1668,53.02771378
1667,52.87762833
1666,53.0125618
1665,52.88580704
1664,53.05735016
1663,53.01568604
1662,53.00902557
1661,52.91371918
1660,52.9128685
1659,52.8900032
1658,52.97757339
1657,52.91941071
1656,52.94245529
1655,52.92987823
1654,52.91270447
1653,52.95644379
1652,52.91632462
1651,52.95565796
1650,52.88391113
1649,53.0113678
1648,52.91580582
1647,52.97846222
1646,52.88707733
1645,52.89936066
1644,52.84191895
1643,52.96400833
1642,52.88757706
1641,52.94749069
1640,52.90094757
1639,52.90415192
1638,52.89473724
1637,52.84236526
1636,52.92455673
1635,52.87225723
1634,52.9082222
1633,52.86090469
1632,52.92109299
1631,52.85946274
1630,52.91326523
1629,52.83666992
1628,52.85019302
1627,52.92174911
1626,52.85805893
1625,52.90030289
1624,52.8779335
1623,52.93231201
1622,52.81002045
1621,52.91182327
1620,52.84136963
1619,52.91384506
1618,52.86024094
1617,52.85197449
1616,52.86785889
1615,52.8654747
1614,52.9120636
1613,52.79483795
1612,52.96794891
1611,52.79532242
1610,52.91434097
1609,52.86568832
1608,52.86488342
1607,52.82685089
1606,52.83142471
1605,52.82794189
1604,52.80744934
1603,52.87866592
1602,52.78918076
1601,52.79397202
1600,52.85220718
1599,52.79404449
1598,52.84450531
1597,52.8079567
1596,52.80916595
1595,52.80605698
1594,52.80428696
1593,52.82767487
1592,52.82604599
1591,52.87924957
1590,52.8017807
1589,52.80545425
1588,52.78054047
1587,52.8289566
1586,52.7464447
1585,52.75822449
1584,52.81348419
1583,52.71445084
1582,52.87919617
1581,52.74037552
1580,52.77566147
1579,52.75940323
1578,52.75635529
1577,52.85626602
1576,52.73573303
1575,52.82599258
1574,52.71969604
1573,52.79355621
1572,52.76740646
1571,52.77061462
1570,52.79572678
1569,52.75043869
1568,52.75395966
1567,52.74268341
1566,52.6836853
1565,52.73196793
1564,52.75121307
1563,52.76282501
1562,52.70796585
1561,52.78168488
1560,52.78233719
1559,52.6978302
1558,52.72902298
1557,52.78347015
1556,52.70073318
1555,52.73346329
1554,52.68992233
1553,52.74621964
1552,52.78362656
1551,52.7301712
1550,52.77610397
1549,52.69913101
1548,52.67518234
1547,52.73231125
1546,52.73598862
1545,52.74465561
1544,52.67422104
1543,52.69887543
1542,52.73232269
1541,52.68153
1540,52.67539215
1539,52.74872589
1538,52.70804596
1537,52.70703506
1536,52.62371826
1535,52.70823288
1534,52.64306641
1533,52.65333176
1532,52.69857025
1531,52.68818665
1530,52.64009857
1529,52.66663361
1528,52.65011597
1527,52.66010666
1526,52.62650299
1525,52.63847733
1524,52.65409851
1523,52.57385254
1522,52.62630463
1521,52.65288925
1520,52.57577896
1519,52.70632553
1518,52.64070129
1517,52.64731216
1516,52.67681503
1515,52.58175278
1514,52.59775543
1513,52.66326141
1512,52.65396881
1511,52.6252327
1510,52.60179138
1509,52.68372726
1508,52.58864212
1507,52.65454102
1506,52.60382462
1505,52.59718323
1504,52.56484604
1503,52.61110687
1502,52.60776138
1501,52.60552597
1500,52.62499619
1499,52.61214447
1498,52.57949066
1497,52.62963104
1496,52.63110352
1495,52.54138565
1494,52.59826279
1493,52.60588074
1492,52.57816315
1491,52.60841751
1490,52.56852341
1489,52.55972672
1488,52.62870026
1487,52.58193207
1486,52.56807327
1485,52.58830261
1484,52.56083679
1483,52.57552719
1482,52.56779861
1481,52.57366943
1480,52.53884888
1479,52.5526123
1478,52.57210541
1477,52.54608536
1476,52.58755112
1475,52.52521133
1474,52.51961899
1473,52.57535553
1472,52.55818939
1471,52.47983932
1470,52.59062195
1469,52.52761078
1468,52.52622223
1467,52.59553909
1466,52.52125168
1465,52.53207779
1464,52.51228333
1463,52.50746536
1462,52.52730179
1461,52.49510956
1460,52.55501938
1459,52.49820328
1458,52.50637436
1457,52.52482224
1456,52.48427963
1455,52.50690079
1454,52.50286865
1453,52.51144028
1452,52.50680923
1451,52.48633194
1450,52.53130722
1449,52.45028687
1448,52.47151184
1447,52.43967056
1446,52.45941162
1445,52.46148682
1444,52.45178986
1443,52.49934387
1442,52.45872116
1441,52.47132874
1440,52.4886322
1439,52.45467377
1438,52.48018646
1437,52.50907516
1436,52.36349869
1435,52.45521545
1434,52.43658447
1433,52.41835785
1432,52.42733383
1431,52.41410065
1430,52.4540596
1429,52.47348404
1428,52.42401505
1427,52.4366684
1426,52.48829651
1425,52.43285751
1424,52.46881866
1423,52.4691658
1422,52.46250534
1421,52.42145157
1420,52.44544601
1419,52.37898254
1418,52.35880661
1417,52.38981247
1416,52.45426941
1415,52.42881012
1414,52.34449005
1413,52.44640732
1412,52.42124939
1411,52.41036224
1410,52.3372879
1409,52.42026901
1408,52.40911865
1407,52.39847183
1406,52.33823013
1405,52.39633179
1404,52.34054184
1403,52.37499619
1402,52.39339447
1401,52.39184952
1400,52.49362564
1399,52.33193588
1398,52.35836411
1397,52.39990234
1396,52.37259674
1395,52.37939835
1394,52.41543198
1393,52.40242004
1392,52.35955048
1391,52.35270691
1390,52.3250885
1389,52.35422134
1388,52.26427841
1387,52.24823761
1386,52.28983688
1385,52.2776947
1384,52.27955627
1383,52.27600479
1382,52.28558731
1381,52.32666016
1380,52.31272507
1379,52.36046219
1378,52.2558403
1377,52.2568779
1376,52.30475235
1375,52.27338791
1374,52.28157806
1373,52.21712112
1372,52.28544617
1371,52.2902565
1370,52.20956039
1369,52.16162872
1368,52.27521515
1367,52.23474503
1366,52.2925148
1365,52.21201324
1364,52.21498108
1363,52.23825073
1362,52.28167343
1361,52.21839523
1360,52.18479156
1359,52.20158768
1358,52.24946213
1357,52.28064728
1356,52.22579193
1355,52.19727707
1354,52.24954605
1353,52.2790451
1352,52.31846619
1351,52.24178314
1350,52.25642395
1349,52.23263931
1348,52.18492126
1347,52.22539139
1346,52.26747513
1345,52.22451782
1344,52.13848877
1343,52.19831467
1342,52.25210953
1341,52.24999619
1340,52.24875259
1339,52.21583939
1338,52.21019363
1337,52.16876984
1336,52.23558426
1335,52.27430344
1334,52.22621155
1333,52.15681076
1332,52.20547867
1331,52.25964737
1330,52.21040344
1329,52.22291946
1328,52.2594986
1327,52.17313004
1326,52.18299484
1325,52.16030884
1324,52.20131683
1323,52.21815872
1322,52.14183807
1321,52.21811676
1320,52.14985657
1319,52.09953308
1318,52.17760849
1317,52.20511627
1316,52.18286514
1315,52.18952179
1314,52.17181396
1313,52.10793686
1312,52.10663223
1311,52.1865921
1310,52.2034874
1309,52.2247963
1308,52.15364838
1307,52.14740753
1306,52.10899734
1305,52.11017227
1304,52.11889267
1303,52.1414566
1302,52.17875671
1301,52.16856003
1300,52.12380981
1299,52.09885788
1298,52.033638
1297,52.069561
1296,52.02708435
1295,52.09318542
1294,52.15369415
1293,52.13612366
1292,52.1391449
1291,52.08793259
1290,52.0698204
1289,52.00009918
1288,52.06505203
1287,52.01269913
1286,52.10194016
1285,52.08851624
1284,52.11017227
1283,52.13142776
1282,52.09098434
1281,52.09839249
1280,52.06344604
1279,52.03084946
1278,52.02661896
1277,52.01062393
1276,52.07339096
1275,52.12466049
1274,52.06332397
1273,52.05432129
1272,52.10403061
1271,52.03230286
1270,52.03860474
1269,51.97881317
1268,52.01888275
1267,51.96944427
1266,51.97719955
1265,51.96393204
1264,51.99772644
1263,51.99067688
1262,52.06676865
1261,52.08228683
1260,52.10570145
1259,52.06912231
1258,52.08460617
1257,52.06006622
1256,52.07512283
1255,52.01361084
1254,52.02244568
1253,51.99184418
1252,51.99666595
1251,52.00268555
1250,51.93964386
1249,51.96449661
1248,51.97597885
1247,52.05361176
1246,51.92816925
1245,52.01379013
1244,52.03006744
1243,51.99532318
1242,51.94649124
1241,52.02748108
1240,51.96173859
1239,51.92924881
1238,51.98196793
1237,52.01326752
1236,51.98283768
1235,51.9683609
1234,51.94503021
1233,51.92922211
1232,51.97518539
1231,52.01059723
1230,52.03983688
1229,51.95793533
1228,51.98404694
1227,51.98761749
1226,51.99572372
1225,51.93494415
1224,51.94819641
1223,51.99241638
1222,51.97502518
1221,51.91981125
1220,51.93951035
1219,51.889431
1218,51.9162941
1217,51.93484879
1216,51.89421844
1215,51.96775818
1214,51.91513443
1213,51.88582993
1212,51.92205811
1211,51.93542099
1210,51.94262695
1209,51.9571228
1208,51.9371109
1207,51.86698914
1206,51.93819427
1205,51.90299225
1204,51.93011856
1203,51.88785172
1202,51.96032715
1201,51.88227844
1200,51.92543411
1199,51.80302429
1198,51.84223175
1197,51.89110184
1196,51.82110214
1195,51.83590698
1194,51.88500977
1193,51.87026978
1192,51.80900192
1191,51.80280304
1190,51.81796646
1189,51.8126564
1188,51.76969147
1187,51.77349854
1186,51.80016327
1185,51.81517792
1184,51.73661804
1183,51.80122375
1182,51.7425766
1181,51.79856873
1180,51.84014893
1179,51.74341965
1178,51.78617096
1177,51.68982315
1176,51.63079071
1175,51.63349915
1174,51.70659256
1173,51.63480759
1172,51.59877014
1171,51.59632492
1170,51.58761597
1169,51.49987411
1168,51.48828506
1167,51.52584839
1166,51.48473358
1165,51.46934509
1164,51.40114594
1163,51.33665848
1162,51.37306595
1161,51.39263153
1160,51.39809418
1159,51.29634857
1158,51.24224472
1157,51.18756104
1156,51.17213821
1155,51.1711731
1154,51.18283463
1153,51.09729767
1152,51.08462524
1151,51.0063591
1150,51.02920532
1149,50.92987442
1148,50.96474838
1147,50.89703751
1146,50.84220886
1145,50.86839676
1144,50.75510788
1143,50.6383667
1142,50.70043182
1141,50.63972473
1140,50.59198761
1139,50.52922821
1138,50.45382309
1137,50.4936142
1136,50.39657211
1135,50.3480072
1134,50.30185699
1133,50.2175827
1132,50.10613632
1131,50.14888763
1130,50.03028107
1129,49.92179489
1128,49.95056915
1127,49.89425659
1126,49.87564468
1125,49.78372955
1124,49.68315506
1123,49.62997818
1122,49.57852173
1121,49.4932518
1120,49.45463562
1119,49.38947678
1118,49.30035019
1117,49.22514725
1116,49.1641655
1115,49.02355194
1114,48.95871735
1113,48.91385651
1112,48.82381439
1111,48.6910553
1110,48.67216492
1109,48.53332901
1108,48.48510742
1107,48.41252136
1106,48.26042938
1105,48.12485123
1104,48.11917496
1103,47.95027542
1102,47.87377548
1101,47.7773056
1100,47.69805145
1099,47.55409622
1098,47.42840195
1097,47.33679581
1096,47.16981506
1095,47.09854889
1094,46.97851944
1093,46.86189651
1092,46.73624039
1091,46.57751465
1090,46.48958206
1089,46.32375336
1088,46.1295166
1087,45.98134232
1086,45.88174057
1085,45.70484543
1084,45.57299805
1083,45.40523148
1082,45.24937439
1081,45.06686783
1080,44.90362167
1079,44.70704651
1078,44.53923416
1077,44.31838989
1076,44.22312546
1075,43.98322296
1074,43.78024673
1073,43.60152435
1072,43.41323471
1071,43.17060089
1070,43.02179337
1069,42.80174255
1068,42.5743866
1067,42.30605316
1066,42.11752701
1065,41.87805939
1064,41.65496445
1063,41.37811661
1062,41.03512955
1061,40.7040062
1060,40.33419037
1059,39.97576523
1058,39.52127457
1057,39.09259796
1056,38.63042068
1055,38.20668793
1054,37.82933807
1053,37.43399811
1052,37.10401535
1051,36.61069107
1050,36.18832397
1049,35.81137466
1048,35.39663696
1047,34.92344666
1046,34.47999954
1045,34.03406906
1044,33.54469681
1043,33.07966614
1042,32.61470413
1041,32.13102341
1040,31.72731972
1039,31.23551559
1038,30.69372177
1037,30.14690018
1036,29.68345833
1035,29.27929497
1034,28.7539444
1033,28.29144669
1032,27.7849102
1031,27.30025864
1030,26.86090088
1029,26.35846519
1028,25.81521034
1027,25.41477585
1026,24.87416458
1025,24.38917923
1024,23.85832596
1023,23.45592499
1022,22.99163055
1021,22.50848579
1020,22.01599312
1019,21.55222893
1018,21.0353756
1017,20.69970131
1016,20.25050735
1015,19.76768875
1014,19.31863213
1013,18.91372681
1012,18.47542
1011,18.06090546
1010,17.65091133
1009,17.1906147
1008,16.7264843
1007,16.42491531
1006,15.9768343
1005,15.56276989
1004,15.14566517
1003,14.77308846
1002,14.36672783
1001,13.99202156
1000,13.68183327
999,13.33667374
998,12.89520836
997,12.54890156
996,12.25741768
995,11.87550831
994,11.53267193
993,11.21802044
992,10.89434338
991,10.55622005
990,10.27226925
989,9.947131157
988,9.637793541
987,9.346354485
986,9.121476173
985,8.78565979
984,8.490393639
983,8.2053442
982,7.925515652
981,7.734570026
980,7.468744278
979,7.200353622
978,6.971581936
977,6.682768345
976,6.465108871
975,6.314823627
974,6.102466583
973,5.870896339
972,5.647833824
971,5.326191902
970,5.206467628
969,5.010234356
968,4.78740406
967,4.65160799
966,4.467421055
965,4.252889156
964,4.092095852
963,4.003044128
962,3.837582827
961,3.66829586
960,3.517379284
959,3.426337242
958,3.232769012
957,3.056900501
