"Wavelength (nm)", "Transmittance (%)"
831.64, 70.278
832.34, 70.332
833.05, 70.361
833.75, 70.36
834.45, 70.369
835.16, 70.378
835.86, 70.415
836.57, 70.495
837.27, 70.588
837.97, 70.614
838.68, 70.604
839.38, 70.651
840.08, 70.695
840.79, 70.732
841.49, 70.738
842.19, 70.705
842.9, 70.675
843.6, 70.664
844.3, 70.695
845.01, 70.736
845.71, 70.73
846.41, 70.766
847.12, 70.794
847.82, 70.802
848.52, 70.774
849.22, 70.728
849.93, 70.734
850.63, 70.744
851.33, 70.753
852.03, 70.808
852.74, 70.812
853.44, 70.778
854.14, 70.777
854.84, 70.833
855.54, 70.824
856.25, 70.781
856.95, 70.703
857.65, 70.632
858.35, 70.585
859.05, 70.602
859.75, 70.635
860.46, 70.634
861.16, 70.644
861.86, 70.721
862.56, 70.818
863.26, 70.948
863.96, 71.07
864.66, 71.116
865.36, 71.136
866.06, 71.193
866.76, 71.286
867.47, 71.325
868.17, 71.325
868.87, 71.288
869.57, 71.231
870.27, 71.245
870.97, 71.284
871.67, 71.316
872.37, 71.377
873.07, 71.387
873.77, 71.413
874.47, 71.419
875.17, 71.468
875.87, 71.564
876.57, 71.576
877.27, 71.538
877.97, 71.557
878.67, 71.499
879.36, 71.438
880.06, 71.395
880.76, 71.405
881.46, 71.378
882.16, 71.341
882.86, 71.354
883.56, 71.389
884.26, 71.366
884.96, 71.388
885.66, 71.421
886.35, 71.415
887.05, 71.366
887.75, 71.309
888.45, 71.281
889.15, 71.255
889.85, 71.24
890.54, 71.224
891.24, 71.236
891.94, 71.236
892.64, 71.263
893.34, 71.321
894.03, 71.361
894.73, 71.418
895.43, 71.47
896.13, 71.498
896.82, 71.533
897.52, 71.528
898.22, 71.543
898.92, 71.562
899.61, 71.564
900.31, 71.587
901.01, 71.588
901.71, 71.572
902.4, 71.586
903.1, 71.612
903.8, 71.645
904.49, 71.666
905.19, 71.684
905.89, 71.704
906.58, 71.727
907.28, 71.757
907.98, 71.79
908.67, 71.805
909.37, 71.8
910.06, 71.798
910.76, 71.798
911.46, 71.768
912.15, 71.723
912.85, 71.709
913.54, 71.721
914.24, 71.748
914.93, 71.797
915.63, 71.841
916.33, 71.843
917.02, 71.821
917.72, 71.807
918.41, 71.807
919.11, 71.806
919.8, 71.806
920.5, 71.798
921.19, 71.749
921.89, 71.68
922.58, 71.629
923.28, 71.602
923.97, 71.619
924.66, 71.668
925.36, 71.754
926.05, 71.826
926.75, 71.852
927.44, 71.869
928.14, 71.91
928.83, 71.963
929.52, 71.993
930.22, 72.019
930.91, 72.032
931.61, 71.998
932.3, 71.936
932.99, 71.891
933.69, 71.933
934.38, 72.016
935.07, 72.053
935.77, 72.039
936.46, 72.055
937.15, 72.091
937.85, 72.134
938.54, 72.188
939.23, 72.242
939.92, 72.274
940.62, 72.271
941.31, 72.229
942, 72.155
942.7, 72.122
943.39, 72.141
944.08, 72.13
944.77, 72.131
945.47, 72.161
946.16, 72.204
946.85, 72.27
947.54, 72.335
948.23, 72.409
948.93, 72.453
949.62, 72.477
950.31, 72.546
951, 72.617
951.69, 72.687
952.38, 72.693
953.08, 72.63
953.77, 72.576
954.46, 72.507
955.15, 72.465
955.84, 72.409
956.53, 72.328
957.22, 72.318
957.91, 72.262
958.6, 72.265
959.3, 72.23
959.99, 72.244
960.68, 72.31
961.37, 72.32
962.06, 72.332
962.75, 72.372
963.44, 72.377
964.13, 72.491
964.82, 72.544
965.51, 72.614
966.2, 72.639
966.89, 72.672
967.58, 72.679
968.27, 72.635
968.96, 72.654
969.65, 72.691
970.34, 72.707
971.03, 72.724
971.72, 72.727
972.41, 72.763
973.1, 72.766
973.78, 72.766
974.47, 72.737
975.16, 72.715
975.85, 72.747
976.54, 72.79
977.23, 72.822
977.92, 72.887
978.61, 72.948
979.3, 72.96
979.98, 72.957
980.67, 72.976
981.36, 72.985
982.05, 72.977
982.74, 72.953
983.43, 72.95
984.11, 72.934
984.8, 72.926
985.49, 72.859
986.18, 72.777
986.87, 72.755
987.55, 72.712
988.24, 72.651
988.93, 72.6
989.62, 72.553
990.3, 72.587
990.99, 72.633
991.68, 72.658
992.37, 72.666
993.05, 72.656
993.74, 72.68
994.43, 72.691
995.11, 72.693
995.8, 72.741
996.49, 72.788
997.17, 72.76
997.86, 72.729
998.55, 72.73
999.23, 72.732
999.92, 72.725
1000.61, 72.675
1001.29, 72.615
1001.98, 72.604
1002.66, 72.632
1003.35, 72.632
1004.04, 72.587
1004.72, 72.573
1005.41, 72.575
1006.09, 72.6
1006.78, 72.556
1007.47, 72.489
1008.15, 72.479
1008.84, 72.485
1009.52, 72.573
1010.21, 72.61
1010.89, 72.557
1011.58, 72.535
1012.26, 72.545
1012.95, 72.548
1013.63, 72.531
1014.32, 72.544
1015, 72.555
1015.69, 72.638
1016.37, 72.703
1017.06, 72.771
1017.74, 72.728
1018.42, 72.688
1019.11, 72.621
1019.79, 72.658
1020.48, 72.646
1021.16, 72.672
1021.84, 72.724
1022.53, 72.809
1023.21, 72.867
1023.9, 72.833
1024.58, 72.801
1025.26, 72.778
1025.95, 72.735
1026.63, 72.93
1027.31, 72.913
1028, 73.053
1028.68, 73.031
1029.36, 73.027
1030.05, 73.028
1030.73, 72.952
1031.41, 72.923
1032.1, 72.948
1032.78, 72.926
1033.46, 72.961
1034.14, 73.014
1034.83, 73.057
1035.51, 72.928
1036.19, 72.951
1036.87, 72.958
1037.56, 72.935
1038.24, 72.925
1038.92, 72.897
1039.6, 72.87
1040.28, 72.896
1040.97, 72.886
1041.65, 72.955
1042.33, 72.989
1043.01, 73.003
1043.69, 73.037
1044.37, 73.125
1045.06, 73.21
1045.74, 73.225
1046.42, 73.196
1047.1, 73.197
1047.78, 73.189
1048.46, 73.22
1049.14, 73.159
1049.82, 73.095
1050.51, 73.052
