sample1,
Wavelength (nm),%T
1091,37.72090912
1090,37.43954468
1089,37.09426117
1088,36.89126205
1087,36.65377426
1086,36.4162941
1085,36.3164978
1084,36.07380676
1083,35.99303055
1082,35.88044357
1081,35.85422134
1080,35.83594131
1079,35.71691895
1078,35.78653336
1077,35.91735458
1076,35.9040451
1075,35.98664856
1074,36.06466293
1073,36.25843811
1072,36.49271774
1071,36.60326004
1070,36.90977097
1069,37.16047668
1068,37.50698853
1067,37.79121017
1066,38.13352966
1065,38.52342224
1064,38.87204361
1063,39.36539459
1062,39.85594559
1061,40.44524765
1060,40.91609955
1059,41.58013153
1058,42.16601944
1057,42.84062195
1056,43.49251938
1055,44.25492859
1054,44.96788406
1053,45.86811829
1052,46.5633316
1051,47.43903351
1050,48.32351303
1049,49.31539154
1048,50.21010208
1047,51.18246078
1046,52.14730072
1045,53.15865326
1044,54.20161438
1043,55.13759232
1042,56.25037003
1041,57.17621613
1040,58.27745819
1039,59.23762894
1038,60.22981262
1037,61.24223328
1036,62.25445175
1035,63.09672546
1034,64.02025604
1033,64.68469238
1032,65.46986389
1031,66.03411102
1030,66.58032227
1029,67.21427917
1028,67.58111572
1027,67.91220856
1026,68.12110901
1025,68.25544739
1024,68.32568359
1023,68.34579468
1022,68.11315918
1021,67.86045074
1020,67.56179047
1019,67.12424469
1018,66.57218933
1017,66.13264465
1016,65.47264099
1015,64.85554504
1014,64.05516815
1013,63.30155182
1012,62.45919037
1011,61.54881287
1010,60.63820267
1009,59.77419662
1008,58.83351135
1007,57.92133713
1006,56.98658371
1005,56.0988121
1004,55.14482117
1003,54.27809906
1002,53.29285431
1001,52.44585419
1000,51.62186432
999,50.85855103
998,49.91931152
997,49.1817131
996,48.49361038
995,47.73662567
994,47.02997208
993,46.38949585
992,45.74250031
991,45.14328384
990,44.60530853
989,44.09138489
988,43.57474899
987,43.20667267
986,42.81901932
985,42.38120651
984,42.11128616
983,41.80977631
982,41.58284378
981,41.35284424
980,41.20004272
979,41.09273911
978,41.00009918
977,41.02326965
976,40.97530746
975,41.01902008
974,41.08951569
973,41.2695694
972,41.38881302
971,41.5461731
970,41.79715347
969,42.0682373
968,42.41539764
967,42.76951218
966,43.19049454
965,43.6346283
964,44.04934311
963,44.6498909
962,45.25339127
961,45.90795517
960,46.49084091
959,47.24464798
958,47.95206833
957,48.71532059
956,49.55455399
955,50.39492416
954,51.25579071
953,52.09780884
952,53.13829803
951,53.96315002
950,54.91743088
949,55.85702515
948,56.86116028
947,57.79525757
946,58.70625305
945,59.66924286
944,60.49596786
943,61.42877197
942,62.16262436
941,62.91661835
940,63.56806183
939,64.16901398
938,64.71472168
937,65.20882416
936,65.48284912
935,65.78752899
934,65.97653961
933,66.03472137
932,66.02449036
931,65.92233276
930,65.73817444
929,65.30810547
928,65.02655792
927,64.53768158
926,63.95469284
925,63.5128212
924,62.73180389
923,62.0599556
922,61.27622223
921,60.41175842
920,59.59666824
919,58.80390549
918,58.0338974
917,57.11629486
916,56.12168121
915,55.29843521
914,54.41773987
913,53.63485336
912,52.82159424
911,52.03596878
910,51.30434036
909,50.5157814
908,49.85426712
907,49.11670303
906,48.51484299
905,47.92882156
904,47.34098434
903,46.86515808
902,46.41090012
901,45.88532257
900,45.5452919
899,45.29648209
898,45.02880096
897,44.8172493
896,44.68635559
895,44.53165054
894,44.39493942
893,44.44946671
892,44.41069031
891,44.53782272
890,44.64886475
889,44.8370285
888,45.10297012
887,45.38057709
886,45.67638016
885,46.11927032
884,46.61510086
883,47.07526016
882,47.62082291
881,48.20329666
880,48.78128433
879,49.45063019
878,50.15006638
877,50.78928375
876,51.52457428
875,52.3015213
874,53.04209137
873,53.93222427
872,54.78364944
871,55.50473785
870,56.21554947
869,57.06243515
868,57.74079132
867,58.33143616
866,58.99446487
865,59.54179764
864,60.10058975
863,60.42529297
862,60.84270477
861,61.10760498
860,61.39984894
859,61.33895111
858,61.529953
857,61.48328781
856,61.40776443
855,61.3153801
854,60.99528503
853,60.65812683
852,60.29462814
851,59.78997421
850,59.278862
849,58.73183441
848,58.26716614
847,57.53826523
846,56.92687225
845,56.19720078
844,55.47914505
843,54.76309204
842,54.12875366
841,53.40745926
840,52.71025467
839,52.08359909
838,51.32927704
837,50.70583344
836,50.16053772
835,49.58026505
834,49.04750443
833,48.55839157
832,48.17506027
831,47.71405029
830,47.44243622
829,47.13455582
828,47.03745651
827,46.74597549
826,46.70570374
825,46.65993881
824,46.71443558
823,46.86463928
822,47.00605774
821,47.20910645
820,47.41492081
819,47.82932663
818,48.13760376
817,48.58538818
816,49.01840591
815,49.47745514
814,49.88920212
813,50.45631027
812,50.95781708
811,51.39936066
810,51.89593887
809,52.35435486
808,52.75058746
807,53.18121338
806,53.49343872
805,53.8896904
804,54.20093536
803,54.47380447
802,54.52697372
801,54.6224823
800,54.77916718
799,60.67739105
798,60.75847244
797,60.66542435
796,60.39850616
795,59.96660614
794,59.38100052
793,58.60719681
792,57.74659348
791,56.75025177
790,55.686306
789,54.55546951
788,53.36510468
787,52.18655014
786,50.97635269
785,49.77044296
784,48.62877655
783,47.51054764
782,46.45426941
781,45.46753693
780,44.55317688
779,43.71792221
778,42.96067429
777,42.32591629
776,41.77021027
775,41.31127167
774,40.98050308
773,40.74333572
772,40.62908173
771,40.63642502
770,40.77226257
769,40.98622513
768,41.36455154
767,41.85769272
766,42.4417038
765,43.16382217
764,43.9982872
763,44.9561615
762,46.00449371
761,47.14632034
760,48.34955978
759,49.59594727
758,50.86623001
757,52.1499176
756,53.37783051
755,54.51332474
754,55.53898621
753,56.40526581
752,57.05832672
751,57.49610138
750,57.67295456
749,57.59384537
748,57.2590332
747,56.67084503
746,55.88710785
745,54.89484787
744,53.72246552
743,52.44687653
742,51.09387207
741,49.68114853
740,48.25572205
739,46.86423111
738,45.51672363
737,44.22375107
736,43.02874374
735,41.92562103
734,40.94583893
733,40.09777832
732,39.40513992
731,38.81229401
730,38.40857315
729,38.14057922
728,38.03139877
727,38.08313751
726,38.28733444
725,38.65350723
724,39.17378235
723,39.8469696
722,40.66082382
721,41.60565186
720,42.64706802
719,43.78977966
718,44.97615814
717,46.18023682
716,47.33611298
715,48.37852478
714,49.28684998
713,49.99910355
712,50.44365692
711,50.6249733
710,50.49018097
709,50.06594086
708,49.35961533
707,48.40904236
706,47.22965622
705,45.94358063
704,44.51124573
703,43.0550766
702,41.60151672
701,40.17115784
700,38.8041954
699,37.54220581
698,36.40740967
697,35.40415955
696,34.54572678
695,33.84143829
694,33.29379654
693,32.90211105
692,32.66275406
691,32.57544708
690,32.64102173
689,32.8411026
688,33.16622162
687,33.58327866
686,34.0848465
685,34.62261963
684,35.17140198
683,35.6773262
682,36.09786224
681,36.39425278
680,36.51992035
679,36.4538269
678,36.18438339
677,35.7005043
676,35.02912521
675,34.18192673
674,33.20397568
673,32.12274551
672,30.99668121
671,29.85381699
670,28.72260284
669,27.64479446
668,26.61791992
667,25.68104935
666,24.84500694
665,24.10669136
664,23.4720192
663,22.9296093
662,22.48674393
661,22.12883377
660,21.83525658
659,21.61417961
658,21.42735291
657,21.2725544
656,21.11626053
655,20.94901466
654,20.74345589
653,20.48968887
652,20.17624283
651,19.789711
650,19.33435249
649,18.81249428
648,18.23635483
647,17.60446167
646,16.9500885
645,16.27837181
644,15.60659599
643,14.95673084
642,14.31885624
641,13.71175194
640,13.14591599
639,12.61436653
638,12.12503052
637,11.66853046
636,11.24736404
635,10.85944653
634,10.49313736
633,10.14549541
632,9.815765381
631,9.486012459
630,9.167368889
629,8.84625721
628,8.520484924
627,8.191756248
626,7.857448578
625,7.521724701
624,7.18324995
623,6.843717575
622,6.509987354
621,6.182420254
620,5.862570286
619,5.551849842
618,5.253007412
617,4.970745087
616,4.699896336
615,4.443039417
614,4.201087952
613,3.970154047
612,3.752403975
611,3.544300795
610,3.347026825
609,3.158576012
608,2.979403973
607,2.806769609
606,2.640364647
605,2.478941917
604,2.327005148
603,2.179351091
602,2.039015055
601,1.904970646
600,1.777305961
599,1.656542182
598,1.541418672
597,1.43310523
596,1.330426693
595,1.234217048
594,1.144687772
593,1.058492303
592,0.979622483
591,0.905340791
590,0.835627616
589,0.770036995
588,0.708788514
587,0.651721239
586,0.599089146
585,0.549096048
584,0.502846181
583,0.460418999
582,0.420551181
581,0.383434206
580,0.349247396
579,0.317573398
578,0.288325846
577,0.261525005
576,0.236821309
575,0.213930354
574,0.193276286
573,0.174605072
572,0.157390311
571,0.141343206
570,0.126674578
569,0.113806956
568,0.101894513
567,0.090812452
566,0.081313804
565,0.072699301
564,0.064629301
563,0.05744857
562,0.051238626
561,0.045126367
560,0.03980431
559,0.035192464
558,0.030748049
557,0.027076112
556,0.02389387
555,0.020976111
554,0.018424787
553,0.015810914
552,0.014036527
551,0.011866659
550,0.010408844
549,0.009243011
548,0.007652004
547,0.006577582
546,0.005901572
545,0.004802409
544,0.004333044
543,0.003546926
542,0.003129644
541,0.002578419
540,0.001932447
539,0.001858743
538,0.001348726
537,0.001322224
536,0.000993104
535,0.000660769
534,0.000708866
533,0.000431154
532,0.00029307
531,0.000176353
530,7.41E-05
529,0.000369317
528,8.19E-05
527,0.00016473
526,0.000209081
525,-0.000135493
524,-0.000196743
523,-2.34E-05
522,4.10E-05
521,-6.05E-05
520,-0.00020089
519,-8.49E-05
518,-0.000364664
517,3.96E-05
516,8.02E-05
515,3.96E-06
514,-5.84E-05
513,-0.000214514
512,-4.62E-05
511,2.79E-05
510,0.00013549
509,-2.33E-05
508,-5.14E-05
507,1.52E-05
506,0.000189849
505,3.63E-06
504,-0.000200676
503,0.00019041
502,-0.000201352
501,-2.11E-05
500,-0.000235927
499,2.80E-05
498,-0.00015798
497,-0.000127504
496,6.40E-05
495,0.000182959
494,-3.39E-06
493,-0.000268268
492,0.000111139
491,-0.000218141
490,-8.20E-05
489,0.000161197
488,-6.42E-05
487,6.46E-05
486,0.000289876
485,-0.00024539
484,-0.000243469
483,-0.000344856
482,-5.09E-05
481,-0.000278719
480,-0.000230627
479,-7.28E-05
478,-0.00010447
477,-3.11E-05
476,0.000168836
475,-2.89E-05
474,-0.000295296
473,-4.65E-05
472,0.000103086
471,-0.000113369
470,9.32E-05
469,-0.000172521
468,-0.000163128
467,-6.93E-05
466,-0.000432942
465,-3.70E-05
464,-0.000288563
463,0.000115619
462,0.00027255
461,-7.15E-05
460,-0.000218442
459,4.83E-05
458,-6.15E-05
457,0.000279729
456,-0.000206028
455,0.000157919
454,-4.64E-05
453,-0.000257042
452,0.000140172
451,1.29E-05
450,-0.000277584
449,-0.000286697
448,-4.03E-05
447,-0.000222048
446,9.78E-05
445,0.000142862
444,-5.56E-05
443,7.05E-07
442,0.000133886
441,-0.000157223
440,-6.54E-05
439,-0.00017421
438,-2.66E-05
437,0.000203876
436,-2.77E-05
435,-0.000160739
434,-0.000197017
433,-2.78E-05
432,7.30E-05
431,0.000122587
430,-9.81E-05
429,5.58E-05
428,7.74E-05
427,-0.000127796
426,0.000356151
425,-7.54E-05
424,-8.02E-05
423,-1.60E-05
422,-2.72E-06
421,-1.44E-05
420,0.000163492
419,-0.00034574
418,-0.000107686
417,-0.000109195
416,7.69E-05
415,2.38E-05
414,-0.000361446
413,-0.000193682
412,0.000172882
411,7.78E-05
410,0.000128881
409,0.00030945
408,-0.000244555
407,2.87E-05
406,0.000200502
405,-3.25E-05
404,-6.63E-05
403,-9.63E-05
402,-0.000473215
401,-0.000266059
400,1.16E-05
399,9.85E-05
398,-7.75E-05
397,2.74E-05
396,-0.000221848
395,-0.000149077
394,-0.000292852
393,9.42E-05
392,-2.64E-05
391,-0.000432165
390,-0.000185136
389,-0.000399674
388,0.000101836
387,9.79E-05
386,-0.000164154
385,-0.000556321
384,-0.000305415
383,0.000192641
382,-8.08E-05
381,-8.70E-05
380,0.000122218
379,-6.95E-05
378,-8.34E-05
377,-0.000544686
376,0.000162275
375,-0.000128229
374,-0.000153449
373,-0.000229624
372,0.000148794
371,-0.000236315
370,-5.43E-05
369,-0.000158617
368,-8.71E-05
367,-0.000138109
366,0.000189224
365,-0.000110777
364,-0.000268182
363,-0.00013336
362,0.00015615
361,3.92E-05
360,0.000115952
359,-0.000838878
358,0.000112916
357,8.38E-05
356,-0.000129249
355,-0.000172619
354,7.46E-05
353,-7.55E-05
352,3.43E-06
351,-0.000288796
350,-0.000356807
