sample1,,
Wavelength (nm),%T,
1250,61.96498108,
1249,61.88187027,
1248,61.75867844,
1247,61.73310089,
1246,61.53302765,
1245,61.38082886,
1244,61.37851334,
1243,61.27510834,
1242,61.15085983,
1241,61.09844589,
1240,61.03566742,
1239,60.86882401,
1238,60.81852722,
1237,60.74273682,
1236,60.76002121,
1235,60.59896469,
1234,60.41203308,
1233,60.38690186,
1232,60.4319458,
1231,60.3123436,
1230,60.2485733,
1229,59.99301529,
1228,60.0736084,
1227,60.06755829,
1226,59.85245132,
1225,59.88555527,
1224,59.79986954,
1223,59.72115326,
1222,59.67031097,
1221,59.58467102,
1220,59.51789474,
1219,59.51835632,
1218,59.41201019,
1217,59.35817337,
1216,59.35142517,
1215,59.20391846,
1214,59.24087906,
1213,59.11891937,
1212,59.14890289,
1211,59.04991531,
1210,58.97084045,
1209,59.04042816,
1208,58.81322098,
1207,58.92633057,
1206,58.87006378,
1205,58.72377014,
1204,58.7592659,
1203,58.65668488,
1202,58.59550095,
1201,58.63462067,
1200,58.56945038,
1199,58.55812836,
1198,58.44933319,
1197,58.39936829,
1196,58.30822754,
1195,58.31513214,
1194,58.32649994,
1193,58.2896843,
1192,58.26817322,
1191,58.25268555,
1190,58.23832321,
1189,58.2472496,
1188,58.23765564,
1187,58.1390152,
1186,58.15167236,
1185,58.13889313,
1184,58.13389969,
1183,58.10983276,
1182,58.17590332,
1181,58.02878571,
1180,58.08598328,
1179,57.98535156,
1178,57.93613815,
1177,58.07126236,
1176,58.06167221,
1175,57.998909,
1174,58.08959579,
1173,57.97457886,
1172,57.99953461,
1171,58.04436874,
1170,57.98072815,
1169,58.00922394,
1168,58.08773804,
1167,58.07830811,
1166,58.0884819,
1165,58.05745697,
1164,58.07087326,
1163,58.10411453,
1162,58.14295578,
1161,58.04611588,
1160,58.18133545,
1159,58.09416962,
1158,58.18741989,
1157,58.23455429,
1156,58.26991653,
1155,58.24214935,
1154,58.32555771,
1153,58.38713837,
1152,58.35520172,
1151,58.38982391,
1150,58.37365341,
1149,58.401577,
1148,58.48934174,
1147,58.55409622,
1146,58.57633972,
1145,58.58830261,
1144,58.6679039,
1143,58.69665146,
1142,58.73197174,
1141,58.84226608,
1140,58.80919647,
1139,58.92664719,
1138,58.93418121,
1137,59.04258347,
1136,59.03539658,
1135,59.11307526,
1134,59.15675735,
1133,59.25543976,
1132,59.25160599,
1131,59.36193466,
1130,59.44648361,
1129,59.52681732,
1128,59.52783966,
1127,59.58190155,
1126,59.67952728,
1125,59.72106934,
1124,59.79633331,
1123,59.94188309,
1122,60.00043869,
1121,60.06516266,
1120,60.11626053,
1119,60.15908813,
1118,60.29286957,
1117,60.30985641,
1116,60.39931107,
1115,60.52629471,
1114,60.57250595,
1113,60.67386246,
1112,60.66731644,
1111,60.80115891,
1110,60.90393829,
1109,60.96516418,
1108,61.12123871,
1107,61.19543839,
1106,61.23825455,
1105,61.41705322,
1104,61.50672531,
1103,61.52325439,
1102,61.63287354,
1101,61.8092041,
1100,61.86217499,
1099,62.02988052,
1098,62.15259933,
1097,62.25297546,
1096,62.39138412,
1095,62.50952911,
1094,62.58467484,
1093,62.64291382,
1092,62.795681,
1091,62.94161606,
1090,63.07551193,
1089,63.18397522,
1088,63.27030182,
1087,63.31874847,
1086,63.50337982,
1085,63.57332993,
1084,63.70701599,
1083,63.80664063,
1082,63.93126678,
1081,64.15878296,
1080,64.16671753,
1079,64.34658813,
1078,64.44631958,
1077,64.63166809,
1076,64.71710205,
1075,64.78474426,
1074,64.88205719,
1073,65.12391663,
1072,65.17193604,
1071,65.31642914,
1070,65.33344269,
1069,65.66387939,
1068,65.70796967,
1067,65.87406158,
1066,65.97302246,
1065,66.134552,
1064,66.2177124,
1063,66.39213562,
1062,66.50391388,
1061,66.61989594,
1060,66.79615021,
1059,66.88669586,
1058,67.0514679,
1057,67.26980591,
1056,67.45789337,
1055,67.45449066,
1054,67.62931061,
1053,67.65511322,
1052,67.86617279,
1051,68.04004669,
1050,68.14225006,
1049,68.24578857,
1048,68.46279144,
1047,68.53543091,
1046,68.60118866,
1045,68.81039429,
1044,68.93947601,
1043,69.0634079,
1042,69.2984314,
1041,69.44960785,
1040,69.51711273,
1039,69.66867065,
1038,69.77880859,
1037,69.90226746,
1036,70.05136871,
1035,70.12638855,
1034,70.32426453,
1033,70.48852539,
1032,70.6312561,
1031,70.72815704,
1030,70.79557037,
1029,70.88109589,
1028,71.06613159,
1027,71.23130798,
1026,71.21709442,
1025,71.37443542,
1024,71.50578308,
1023,71.67900848,
1022,71.71748352,
1021,71.79292297,
1020,72.0042572,
1019,72.12251282,
1018,72.26139832,
1017,72.35900879,
1016,72.43070984,
1015,72.55632782,
1014,72.64201355,
1013,72.79930878,
1012,72.85713196,
1011,72.91530609,
1010,73.05473328,
1009,73.27532196,
1008,73.2894516,
1007,73.3394928,
1006,73.33390045,
1005,73.47328186,
1004,73.62014008,
1003,73.71950531,
1002,73.82383728,
1001,73.88197327,
1000,73.93551636,
999,74.10083008,
998,74.12773895,
997,74.22092438,
996,74.31774139,
995,74.38895416,
994,74.46343994,
993,74.48545074,
992,74.56258392,
991,74.67881012,
990,74.67780304,
989,74.74829865,
988,74.74611664,
987,74.88262177,
986,74.89693451,
985,75.03313446,
984,75.0484314,
983,75.0792923,
982,75.09703064,
981,75.1712265,
980,75.23327637,
979,75.35540771,
978,75.41467285,
977,75.44263458,
976,75.49131775,
975,75.56682587,
974,75.53016663,
973,75.53822327,
972,75.53612518,
971,75.63726044,
970,75.7069931,
969,75.6618042,
968,75.70212555,
967,75.7954483,
966,75.83280945,
965,75.8549118,
964,75.82998657,
963,75.93955231,
962,75.83036804,
961,75.91172791,
960,75.96282959,
959,75.87579346,
958,76.01621246,
957,76.0350647,
956,75.99308777,
955,76.00424957,
954,76.04019165,
953,76.13908386,
952,76.2223587,
951,75.98445892,
950,76.08725739,
949,76.05836487,
948,76.22384644,
947,76.18235016,
946,76.13502502,
945,76.14055634,
944,76.15942383,
943,76.17440796,
942,76.15502167,
941,76.17120361,
940,76.28062439,
939,76.2745285,
938,76.23097992,
937,76.31214905,
936,76.2983017,
935,76.33647919,
934,76.28233337,
933,76.31480408,
932,76.32280731,
931,76.3923111,
930,76.34112549,
929,76.39004517,
928,76.40203094,
927,76.52041626,
926,76.47368622,
925,76.33112335,
