Reflectance thin film,
Wavelength (nm),%R
1741,59.76246643
1740,59.65159988
1739,59.63423157
1738,59.59474945
1737,59.55052948
1736,59.55541611
1735,59.44112396
1734,59.43225098
1733,59.35656357
1732,59.26048279
1731,59.24295807
1730,59.17679214
1729,59.07826996
1728,59.02003479
1727,58.95577621
1726,58.86276245
1725,58.74337387
1724,58.64250183
1723,58.54291153
1722,58.40798569
1721,58.37953568
1720,58.22577667
1719,58.19515991
1718,58.07529068
1717,57.95681
1716,57.82987976
1715,57.66029358
1714,57.53084564
1713,57.41691589
1712,57.29592896
1711,57.15097046
1710,57.03297806
1709,56.91077042
1708,56.70864105
1707,56.53396225
1706,56.39842606
1705,56.20131683
1704,56.04032898
1703,55.85731125
1702,55.68502045
1701,55.52031326
1700,55.33758926
1699,55.0981636
1698,54.88367081
1697,54.75432968
1696,54.5414505
1695,54.30083466
1694,54.04291916
1693,53.87018204
1692,53.63928223
1691,53.3827858
1690,53.08817673
1689,52.87213135
1688,52.62831879
1687,52.36654282
1686,52.15464783
1685,51.86974335
1684,51.56099319
1683,51.31375885
1682,51.0374527
1681,50.69497299
1680,50.47976303
1679,50.06790161
1678,49.82358551
1677,49.49489975
1676,49.16017532
1675,48.84393692
1674,48.52061462
1673,48.25469971
1672,47.81206131
1671,47.52331924
1670,47.12035751
1669,46.79237747
1668,46.4274559
1667,46.10731888
1666,45.61764145
1665,45.21500015
1664,44.86545181
1663,44.47680283
1662,44.01699448
1661,43.65779114
1660,43.22755814
1659,42.76712418
1658,42.33511734
1657,41.93342209
1656,41.51710129
1655,41.03895187
1654,40.62529373
1653,40.14631653
1652,39.67381668
1651,39.20876312
1650,38.78259277
1649,38.24547577
1648,37.81600952
1647,37.28533936
1646,36.83141327
1645,36.34425735
1644,35.84684372
1643,35.30648804
1642,34.80815887
1641,34.30631638
1640,33.79632187
1639,33.23880005
1638,32.74491501
1637,32.22092819
1636,31.65340996
1635,31.14414215
1634,30.60902023
1633,30.04364586
1632,29.54324532
1631,28.99879265
1630,28.45369911
1629,27.9486618
1628,27.40983009
1627,26.85257149
1626,26.31618881
1625,25.78964615
1624,25.25291824
1623,24.76023483
1622,24.25766945
1621,23.66947746
1620,23.22894859
1619,22.69524384
1618,22.17899132
1617,21.66863632
1616,21.23554802
1615,20.74973488
1614,20.26327324
1613,19.86054993
1612,19.37775421
1611,18.97681999
1610,18.50275612
1609,18.09578323
1608,17.72089386
1607,17.3554039
1606,16.94093704
1605,16.55571556
1604,16.27009773
1603,15.89201069
1602,15.59274673
1601,15.28732491
1600,15.02499771
1599,14.81528568
1598,14.49182224
1597,14.28793716
1596,14.13164425
1595,13.86724377
1594,13.76401329
1593,13.58853245
1592,13.45406914
1591,13.33952522
1590,13.3026495
1589,13.198246
1588,13.13178062
1587,13.13089466
1586,13.15360069
1585,13.21836662
1584,13.16275787
1583,13.2592144
1582,13.32888126
1581,13.40068722
1580,13.50033569
1579,13.670331
1578,13.78996372
1577,13.97023392
1576,14.20645905
1575,14.35933876
1574,14.69996834
1573,14.92663956
1572,15.16930294
1571,15.47058868
1570,15.75003147
1569,16.11709976
1568,16.43149185
1567,16.77390099
1566,17.12810326
1565,17.52369308
1564,17.88929749
1563,18.33809662
1562,18.75874329
1561,19.14591217
1560,19.62520981
1559,20.05968666
1558,20.47253609
1557,20.95800591
1556,21.4947052
1555,21.94463921
1554,22.46094513
1553,22.97043419
1552,23.48835945
1551,23.99866676
1550,24.52320099
1549,25.03469849
1548,25.56785393
1547,26.14269829
1546,26.61522102
1545,27.20891571
1544,27.73289299
1543,28.29165077
1542,28.83828354
1541,29.37411118
1540,29.92457199
1539,30.43399429
1538,30.99837685
1537,31.53024292
1536,32.09114456
1535,32.66498184
1534,33.19319916
1533,33.75621414
1532,34.29774475
1531,34.86637878
1530,35.35107803
1529,35.86153793
1528,36.41767502
1527,36.98271561
1526,37.50844193
1525,37.98659515
1524,38.48509979
1523,39.02371979
1522,39.52146912
1521,40.0779686
1520,40.54577255
1519,41.02573776
1518,41.53445816
1517,42.03178024
1516,42.5086441
1515,42.97776031
1514,43.40809631
1513,43.81204224
1512,44.27251053
1511,44.76948547
1510,45.15024567
1509,45.64625168
1508,46.0746994
1507,46.53438187
1506,46.95290375
1505,47.39544678
1504,47.78465652
1503,48.17411423
1502,48.52445221
1501,48.94223785
1500,49.3091774
1499,49.66849899
1498,50.04826355
1497,50.37969971
1496,50.81209564
1495,51.06179047
1494,51.47607422
1493,51.72914124
1492,52.10196304
1491,52.38803101
1490,52.6845932
1489,53.0157814
1488,53.27735138
1487,53.57556152
1486,53.91779709
1485,54.21739197
1484,54.45282364
1483,54.72891998
1482,54.99277115
1481,55.24790192
1480,55.43372726
1479,55.61289978
1478,55.93690109
1477,56.11968231
1476,56.38944626
1475,56.59359741
1474,56.81227493
1473,56.97149658
1472,57.16835785
1471,57.31739807
1470,57.43460846
1469,57.66150284
1468,57.83430862
1467,58.05579376
1466,58.2012825
1465,58.30140686
1464,58.47450638
1463,58.58420181
1462,58.61714554
1461,58.77242661
1460,58.91143799
1459,58.98571014
1458,59.0508461
1457,59.19163132
1456,59.30532837
1455,59.30501175
1454,59.39525986
1453,59.48256683
1452,59.54537964
1451,59.59531784
1450,59.59860611
1449,59.63764191
1448,59.67800522
1447,59.71592712
1446,59.74894333
1445,59.7423439
1444,59.70793533
1443,59.67866898
1442,59.66119003
1441,59.61991501
1440,59.61229324
1439,59.56823349
1438,59.5501709
1437,59.43835831
1436,59.3725853
1435,59.33053589
1434,59.24392319
1433,59.13779068
1432,59.05696106
1431,58.96180344
1430,58.84315872
1429,58.7352562
1428,58.62921906
1427,58.47914124
1426,58.35343552
1425,58.21892548
1424,58.05860138
1423,57.86584473
1422,57.71011734
1421,57.48606873
1420,57.29668045
1419,57.12061691
1418,56.8718071
1417,56.72734833
1416,56.45860291
1415,56.17098999
1414,55.86499405
1413,55.64947128
1412,55.37992096
1411,55.10982895
1410,54.81866074
1409,54.50897217
1408,54.24774933
1407,53.88494873
1406,53.49038315
1405,53.1979866
1404,52.81655121
1403,52.46482086
1402,52.05758667
1401,51.63582611
1400,51.27676773
1399,50.89161301
1398,50.39342117
1397,50.01620102
1396,49.51322937
1395,49.04590607
1394,48.51294708
1393,48.01135254
1392,47.49986649
1391,46.9816246
1390,46.52152634
1389,45.9165535
1388,45.29605103
1387,44.76210403
1386,44.2122879
1385,43.60711288
1384,43.03870773
1383,42.33584595
1382,41.68495941
1381,41.05924225
1380,40.32146454
1379,39.69379807
1378,38.93716049
1377,38.31711197
1376,37.59028244
1375,36.89352417
1374,36.18107986
1373,35.48217773
1372,34.79701996
1371,34.01572037
1370,33.2067337
1369,32.46261978
1368,31.69421577
1367,30.96466637
1366,30.19650269
1365,29.4480114
1364,28.62891769
1363,27.89284515
1362,27.07044983
1361,26.29546738
1360,25.55973244
1359,24.77041626
1358,24.15221786
1357,23.3629818
1356,22.64217949
1355,21.98926735
1354,21.32311249
1353,20.64201164
1352,20.04397202
1351,19.40093613
1350,18.85559464
1349,18.27553177
1348,17.79564095
1347,17.35243797
1346,16.804039
1345,16.42133522
1344,16.01417732
1343,15.69712639
1342,15.42179775
1341,15.0970068
1340,14.87433052
1339,14.67137814
1338,14.55660725
1337,14.43697929
1336,14.39663792
1335,14.34094143
1334,14.40800858
1333,14.44664001
1332,14.57658958
1331,14.64153957
1330,14.85362244
1329,15.04852772
1328,15.33119106
1327,15.61604595
1326,15.93367767
1325,16.28157806
1324,16.67964554
1323,17.1480751
1322,17.60637665
1321,18.06989098
1320,18.54557228
1319,19.16884804
1318,19.73049164
1317,20.29518127
1316,20.90883827
1315,21.57758141
1314,22.21567917
1313,22.87453461
1312,23.57703972
1311,24.28730011
1310,25.02408028
1309,25.73956299
1308,26.41440964
1307,27.18284416
1306,27.91045952
1305,28.67389107
1304,29.44100571
1303,30.19107628
1302,30.96021652
1301,31.66674995
1300,32.40261841
1299,33.16645432
1298,33.9564209
1297,34.66552734
1296,35.45734787
1295,36.14142227
1294,36.82731247
1293,37.58323669
1292,38.31878281
1291,39.02558517
1290,39.68395996
1289,40.36412048
1288,41.00556946
1287,41.71202087
1286,42.39078903
1285,43.05392075
1284,43.62348938
1283,44.34154892
1282,44.92381287
1281,45.51194763
1280,46.08068466
1279,46.73376846
1278,47.29844666
1277,47.89525604
1276,48.38721085
1275,48.89625168
1274,49.47543716
1273,49.98604965
1272,50.43333817
1271,50.93096924
1270,51.37606812
1269,51.88431168
1268,52.2706871
1267,52.72058105
1266,53.21700668
1265,53.55912018
1264,53.94039917
1263,54.32335281
1262,54.73127365
1261,55.0749054
1260,55.46471024
1259,55.70683289
1258,56.06175232
1257,56.34610748
1256,56.6358757
1255,56.89778137
1254,57.19033432
1253,57.46235275
1252,57.67877197
1251,57.94180679
1250,58.14463425
1249,58.27826309
1248,58.52462769
1247,58.67636871
1246,58.85018539
1245,58.9428978
1244,59.11477661
1243,59.2577858
1242,59.39528275
1241,59.4368515
1240,59.53030396
1239,59.55594254
1238,59.65258408
1237,59.69439316
1236,59.739048
1235,59.73506546
1234,59.74679565
1233,59.69985199
1232,59.6664772
1231,59.6266098
1230,59.53491211
1229,59.4784317
1228,59.39465332
1227,59.29846954
1226,59.18291855
1225,59.04852676
1224,58.84988403
1223,58.71409607
1222,58.50331116
1221,58.31681442
1220,57.97215652
1219,57.79682541
1218,57.49411011
1217,57.23661804
1216,56.99968338
1215,56.66357803
1214,56.32851028
1213,55.97915649
1212,55.62807465
1211,55.17056656
1210,54.78779602
1209,54.33236313
1208,53.84932709
1207,53.35494995
1206,52.8704567
1205,52.33127975
1204,51.84364319
1203,51.19293976
1202,50.62138367
1201,50.01543808
1200,49.35509491
1199,48.54331207
1198,47.87169647
1197,47.13741684
1196,46.36628342
1195,45.60980225
1194,44.76181793
1193,43.90721893
1192,43.08098984
1191,42.21464539
1190,41.37047958
1189,40.37913895
1188,39.46701431
1187,38.52513504
1186,37.54421997
1185,36.54595947
1184,35.55538559
1183,34.51756668
1182,33.50855255
1181,32.51414871
1180,31.41950989
1179,30.35676575
1178,29.33470917
1177,28.34610367
1176,27.22999954
1175,26.30620956
1174,25.26691055
1173,24.33084869
1172,23.3949852
1171,22.46208572
1170,21.52664566
1169,20.73703003
1168,19.98555565
1167,19.27494621
1166,18.55853271
1165,17.94983864
1164,17.38677979
1163,16.90983391
1162,16.48309135
1161,16.15561676
1160,15.87962055
1159,15.68360519
1158,15.58316517
1157,15.58702278
1156,15.54483223
1155,15.68854427
1154,15.8184166
1153,16.08860779
1152,16.45223999
1151,16.84776878
1150,17.28157043
1149,17.781147
1148,18.3719101
1147,18.94991684
1146,19.62972069
1145,20.36590195
1144,21.15472031
1143,21.93309212
1142,22.82953453
1141,23.66396141
1140,24.54224205
1139,25.50818634
1138,26.40446091
1137,27.33439827
1136,28.34072685
1135,29.30744934
1134,30.26897621
1133,31.24399567
1132,32.27994156
1131,33.1919136
1130,34.18130112
1129,35.16553497
1128,36.12308121
1127,37.10874939
1126,38.00905991
1125,38.92123413
1124,39.80913925
1123,40.70778656
1122,41.62952805
1121,42.4617691
1120,43.3670311
1119,44.14056015
1118,44.99096298
1117,45.72694397
1116,46.55203247
1115,47.29885483
1114,47.96650314
1113,48.68167114
1112,49.36624146
1111,50.05105591
1110,50.73813248
1109,51.26466751
1108,51.89874268
1107,52.45490646
1106,53.01155472
1105,53.51933289
1104,54.07219696
1103,54.47034073
1102,55.00257111
1101,55.43126297
1100,55.82965088
1099,56.26582336
1098,56.59130096
1097,56.92566681
1096,57.29430771
1095,57.57514954
1094,57.85050201
1093,58.1763382
1092,58.35514832
1091,58.58473206
1090,58.75104523
1089,58.93994141
1088,59.06397247
1087,59.20062637
1086,59.2552948
1085,59.31764221
1084,59.30290985
1083,59.37320709
1082,59.41287994
1081,59.37158966
1080,59.27615738
1079,59.21056747
1078,59.12945938
1077,59.03725052
1076,58.80315781
1075,58.60574722
1074,58.35905838
1073,58.09542084
1072,57.82564163
1071,57.48490524
1070,57.0920639
1069,56.72811127
1068,56.28323364
1067,55.8451767
1066,55.37366867
1065,54.81217575
1064,54.33285904
1063,53.68086624
1062,53.01528168
1061,52.32034302
1060,51.61055374
1059,50.81245422
1058,49.98191833
1057,49.09232712
1056,48.24837875
1055,47.25398254
1054,46.28178406
1053,45.17080307
1052,44.12718964
1051,42.98823929
1050,41.83076859
1049,40.60128784
1048,39.39240265
1047,38.12514114
1046,36.83295822
1045,35.52839279
1044,34.1916008
1043,32.81319427
1042,31.51304054
1041,30.16721535
1040,28.83633614
1039,27.50275803
1038,26.22492599
1037,25.04487991
1036,23.843647
1035,22.73244858
1034,21.64364433
1033,20.75002289
1032,19.8680439
1031,19.13085938
1030,18.50381088
1029,17.94539452
1028,17.5480423
1027,17.2860508
1026,17.11372566
1025,17.13014984
1024,17.18324661
1023,17.43190384
1022,17.76427841
1021,18.22365189
1020,18.76333046
1019,19.40349579
1018,20.10513496
1017,20.98215485
1016,21.92184258
1015,22.89953041
1014,23.91813087
1013,25.00416374
1012,26.11402512
1011,27.29887009
1010,28.5169239
1009,29.65967369
1008,30.94531631
1007,32.11006927
1006,33.33507919
1005,34.59784317
1004,35.81590271
1003,37.01623917
1002,38.16387939
1001,39.33333588
1000,40.4623909
999,41.58544159
998,42.71348572
997,43.77430725
996,44.86404419
995,45.81294632
994,46.85473633
993,47.68319321
992,48.68686676
991,49.49593735
990,50.32516098
989,51.1803093
988,51.88746643
987,52.62822342
986,53.31462479
985,54.04283905
984,54.57075119
983,55.20755768
982,55.75838089
981,56.27394485
980,56.70373535
979,57.10715103
978,57.54392624
977,57.88227844
976,58.22386932
975,58.47882462
974,58.76237106
973,58.98721313
972,59.15075684
971,59.23187637
970,59.35087967
969,59.39730453
968,59.44086838
967,59.40552902
966,59.30698395
965,59.21756744
964,59.04194641
963,58.7993927
962,58.60911179
961,58.2302742
960,57.88993835
959,57.45892334
958,57.00096512
957,56.46145248
956,55.88637543
955,55.21397018
954,54.49619293
953,53.69346619
952,52.90195465
951,52.0145874
950,51.0196991
949,49.94052505
948,48.83042908
947,47.64828491
946,46.38148117
945,45.08245087
944,43.70794296
943,42.25315475
942,40.75542831
941,39.30094528
940,37.733284
939,36.13461304
938,34.53620529
937,33.06498718
936,31.50188065
935,30.02057648
934,28.52252769
933,27.13195419
932,25.87588501
931,24.745924
930,23.67414093
929,22.77148247
928,21.98090172
927,21.4141407
926,20.86573601
925,20.56831741
924,20.43471718
923,20.43614388
922,20.56878853
921,20.94522858
920,21.37403107
919,21.99329948
918,22.66087151
917,23.50926399
916,24.43016243
915,25.41002083
914,26.51908112
913,27.6343708
912,28.83159256
911,30.01920509
910,31.26309586
909,32.55104446
908,33.86281586
907,35.14124298
906,36.44284821
905,37.67779922
904,38.87537003
903,40.12101364
902,41.39881516
901,42.49816132
900,43.6942749
899,44.80036163
898,45.7765274
897,46.80067825
896,47.7742691
895,48.62246323
894,49.4758873
893,50.235672
892,50.95218277
891,51.59250641
890,52.18271637
889,52.76334763
888,53.28165817
887,53.73136902
886,54.15467072
885,54.46448517
884,54.79424667
883,55.00615692
882,55.21249008
881,55.26495743
880,55.34941483
879,55.95201874
878,56.73176575
877,57.01984024
876,56.90678406
875,57.14043808
874,56.96315002
873,56.5629425
872,56.06539917
871,55.79533005
870,54.85518646
869,54.39343262
868,53.42185974
867,52.50687408
866,51.74651718
865,50.85082245
864,49.8713913
863,48.8569603
862,47.76245499
861,46.70385361
860,45.55820084
859,44.42401123
858,43.16807938
857,42.00735092
856,40.73198318
855,39.54438019
854,38.35297394
853,37.23839569
852,36.1556282
851,35.00235367
850,34.00524139
849,33.15141678
848,32.40179443
847,31.66014481
846,31.12251472
845,30.58533287
844,30.25442696
843,30.04011536
842,29.91035652
841,29.95174599
840,29.97036552
839,30.2089119
838,30.57030678
837,31.1230278
836,31.61581802
835,32.26214218
834,32.99997711
833,33.93090057
