sample2,,
Wavelength (nm),%T,
841,79.73154449,
840,79.74224091,
839,79.7824707,
838,79.8839798,
837,79.85128784,
836,79.95176697,
835,79.96702576,
834,79.9336319,
833,79.97188568,
832,80.0067215,
831,80.01441956,
830,80.09220123,
829,80.16358948,
828,80.00648499,
827,80.02361298,
826,80.02970886,
825,80.01063538,
824,79.86301422,
823,79.7264328,
822,79.83695221,
821,79.71246338,
820,79.65093994,
819,79.54391479,
818,79.4865036,
817,79.2840271,
816,79.16900635,
815,78.95552063,
814,78.99514771,
813,78.79923248,
812,78.514534,
811,78.39039612,
810,78.22953796,
809,77.99250793,
808,77.83758545,
807,77.66553497,
806,77.37992096,
805,77.1194458,
804,76.88499451,
803,76.61737823,
802,76.32865143,
801,76.13456726,
800,75.86004639,
799,75.56745148,
798,75.27167511,
797,75.01714325,
796,74.70820618,
795,74.45742798,
794,74.17963409,
793,73.87426758,
792,73.63569641,
791,73.33609772,
790,73.03075409,
789,72.75395203,
788,72.45453644,
787,72.17626953,
786,71.92395782,
785,71.59967041,
784,71.33860016,
783,71.04708862,
782,70.75328064,
781,70.48696136,
780,70.20259094,
779,69.96799469,
778,69.6763916,
777,69.40825653,
776,69.21977997,
775,68.95156097,
774,68.69612122,
773,68.47445679,
772,68.25912476,
771,68.0817337,
770,67.86392212,
769,67.68282318,
768,67.52108765,
767,67.36481476,
766,67.18370819,
765,67.02484131,
764,66.93274689,
763,66.81277466,
762,66.71852875,
761,66.61261749,
760,66.5088501,
759,66.43480682,
758,66.3740921,
757,66.3920517,
756,66.35299683,
755,66.33878326,
754,66.36027527,
753,66.37877655,
752,66.43023682,
751,66.4900589,
750,66.55396271,
749,66.6944046,
748,66.79394531,
747,66.91841125,
746,67.02845764,
745,67.20148468,
744,67.35991669,
743,67.5713501,
742,67.79911041,
741,67.97252655,
740,68.22385406,
739,68.53361511,
738,68.79568481,
737,69.0759201,
736,69.37944031,
735,69.68919373,
734,70.04989624,
733,70.3888092,
732,70.72078705,
731,71.1239624,
730,71.50765228,
729,71.91557312,
728,72.32692719,
727,72.73786926,
726,73.12127686,
725,73.61836243,
724,74.01717377,
723,74.44194794,
722,74.90901184,
721,75.38100433,
720,75.82893372,
719,76.27400208,
718,76.69702148,
717,77.15534973,
716,77.54715729,
715,77.93115997,
714,78.35765076,
713,78.76261139,
712,79.14522552,
711,79.49072266,
710,79.84082794,
709,80.12080383,
708,80.435112,
707,80.72641754,
706,80.97159576,
705,81.16902924,
704,81.31899261,
703,81.47990417,
702,81.58861542,
701,81.65383148,
700,81.65654755,
699,81.7342453,
698,81.68077087,
697,81.62001801,
696,81.48097229,
695,81.3699646,
694,81.17212677,
693,80.96762085,
692,80.70028687,
691,80.45446014,
690,80.16869354,
689,79.8158493,
688,79.42501831,
687,79.06808472,
686,78.64674377,
685,78.25497437,
684,77.76831055,
683,77.28095245,
682,76.80391693,
681,76.28417969,
680,75.78657532,
679,75.26744843,
678,74.73480988,
677,74.23543549,
676,73.69663239,
675,73.16949463,
674,72.70773315,
673,72.15878296,
672,71.6484375,
671,71.16680145,
670,70.67964172,
669,70.22119904,
668,69.77073669,
667,69.36158752,
666,68.96533203,
665,68.55342102,
664,68.16574097,
663,67.83919525,
662,67.50902557,
661,67.18606567,
660,66.90724182,
659,66.67154694,
658,66.44195557,
657,66.24790192,
656,66.07073212,
655,65.89611053,
654,65.81991577,
653,65.73477173,
652,65.6619873,
651,65.59407043,
650,65.58267212,
649,65.5867691,
648,65.64310455,
647,65.72763824,
646,65.8258667,
645,65.94241333,
644,66.11573029,
643,66.27819824,
642,66.47975159,
641,66.67936707,
640,66.93537903,
639,67.20044708,
638,67.46505737,
637,67.76447296,
636,68.07572174,
635,68.40595245,
634,68.75606537,
633,69.0979538,
632,69.4736557,
631,69.83590698,
630,70.21234894,
629,70.59632874,
628,70.9801178,
627,71.38182831,
626,71.7360611,
625,72.09275055,
624,72.44165802,
623,72.80705261,
622,73.1374588,
621,73.45841217,
620,73.75985718,
619,74.02437592,
618,74.29538727,
617,74.53203583,
616,74.71092224,
615,74.89850616,
614,75.07173157,
613,75.17520905,
612,75.24139404,
611,75.30171204,
610,75.32621765,
609,75.31152344,
608,75.26019287,
607,75.18881226,
606,75.0925293,
605,74.90046692,
604,74.72766876,
603,74.52497864,
602,74.27684021,
601,73.99291992,
600,73.67459869,
599,73.35643768,
598,73.03770447,
597,72.61557007,
596,72.28926086,
595,71.86956787,
594,71.45890045,
593,71.03379059,
592,70.58529663,
591,70.12465668,
590,69.64860535,
589,69.19322968,
588,68.73165131,
587,68.20998383,
586,67.72253418,
585,67.20995331,
584,66.6943512,
583,66.20773315,
582,65.74396515,
581,65.25706482,
580,64.74623108,
579,64.24354553,
578,63.81263733,
577,63.33943558,
576,62.86440659,
575,62.40346527,
574,61.97021103,
573,61.5399704,
572,61.12165451,
571,60.74448776,
570,60.37917328,
569,60.01611328,
568,59.68867493,
567,59.38252258,
566,59.06305313,
565,58.79912949,
564,58.5479126,
563,58.34078979,
562,58.14653778,
561,57.97386932,
560,57.8454361,
559,57.78654861,
558,57.67098618,
557,57.57439041,
556,57.55528259,
555,57.52238083,
554,57.5376091,
553,57.5682869,
552,57.60462952,
551,57.66242599,
550,57.78276443,
549,57.89205551,
548,57.98523331,
547,58.08449554,
546,58.16479492,
545,58.24681091,
544,58.29473877,
543,58.34339905,
542,58.3323822,
541,58.25535583,
540,58.14390182,
539,57.98432922,
538,57.74097443,
537,57.41794205,
536,57.0165863,
535,56.54690933,
534,56.0015564,
533,55.34828186,
532,54.62625504,
531,53.82365417,
530,52.96337128,
529,52.01947784,
528,51.01801682,
527,49.97924423,
526,48.9160347,
525,47.80073929,
524,46.67171097,
523,45.5444603,
522,44.4184494,
521,43.2990799,
520,42.19101715,
519,41.11129379,
518,40.06528473,
517,39.05905533,
516,38.08649445,
515,37.14313507,
514,36.23926163,
513,35.3775177,
512,34.55839157,
511,33.76672363,
510,33.01216507,
509,32.27674866,
508,31.56760597,
507,30.87003899,
506,30.18101501,
505,29.4939003,
504,28.81533813,
503,28.10914803,
502,27.38951111,
501,26.65133095,
500,25.89279747,
499,25.09302711,
498,24.27370834,
497,23.41419792,
496,22.52390289,
495,21.61048889,
494,20.67221069,
493,19.71208,
492,18.7600174,
491,17.7874012,
490,16.82986641,
489,15.87947178,
488,14.946805,
487,14.04405689,
486,13.15569878,
485,12.31303692,
484,11.49922657,
483,10.72610092,
482,9.981590271,
481,9.27986908,
480,8.613683701,
479,7.986804962,
478,7.391876221,
477,6.832355976,
476,6.307096958,
475,5.814413071,
474,5.354095459,
473,4.922832966,
472,4.518003941,
471,4.141381264,
470,3.789569855,
469,3.458345652,
468,3.155189753,
467,2.871573687,
466,2.609063625,
465,2.364313841,
464,2.142161131,
463,1.937075377,
462,1.750505567,
461,1.578949451,
460,1.422046185,
459,1.279082775,
458,1.152029514,
457,1.033767462,
456,0.9278042316,
455,0.832770288,
454,0.7474046946,
453,0.670132339,
452,0.6003587842,
451,0.5385744572,
450,0.4841629863,
449,0.4339123964,
448,0.390874207,
447,0.3510715365,
446,0.3158181012,
445,0.2842493057,
444,0.2561507523,
443,0.2319380343,
442,0.2102800012,
441,0.1902249306,
440,0.1726749837,
439,0.1576915979,
438,0.1435897946,
437,0.1315380782,
436,0.1206454262,
435,0.1104966179,
434,0.1019145027,
433,0.0938860774,
432,0.08678100258,
431,0.08064525574,
430,0.07460472733,
429,0.06951275468,
428,0.06502699852,
427,0.0606784597,
426,0.05694459006,
425,0.05312450975,
424,0.05008702725,
423,0.04697197676,
422,0.04434809834,
421,0.04189809039,
420,0.03937244043,
