Wavelength (nm),A 
2196.0,7.41281128,
2195.0,7.59389877000001,
2194.0,7.415004729999993,
2193.0,7.418121329999991,
2192.0,7.484039300000006,
2191.0,7.474319460000004,
2190.0,7.249702450000001,
2189.0,7.426105500000006,
2188.0,7.3981780999999955,
2187.0,7.352104190000006,
2186.0,7.307178500000006,
2185.0,7.50851059,
2184.0,7.372627260000002,
2183.0,7.307060239999998,
2182.0,7.4549217200000015,
2181.0,7.378814699999992,
2180.0,7.270874020000008,
2179.0,7.313133239999999,
2178.0,7.328319550000003,
2177.0,7.31433869,
2176.0,7.3895225500000095,
2175.0,7.3618507300000005,
2174.0,7.334117890000002,
2173.0,7.307582859999997,
2172.0,7.271747590000004,
2171.0,7.2354774499999905,
2170.0,7.329723360000003,
2169.0,7.349464409999996,
2168.0,7.165702820000007,
2167.0,7.241054539999993,
2166.0,7.373489379999995,
2165.0,7.248340600000006,
2164.0,7.214607239999992,
2163.0,7.332553860000004,
2162.0,7.1979103099999975,
2161.0,7.180480959999997,
2160.0,7.210186010000001,
2159.0,7.251800529999997,
2158.0,7.148284910000001,
2157.0,7.212654110000003,
2156.0,7.268871310000009,
2155.0,7.157032009999995,
2154.0,7.121711730000001,
2153.0,7.238082880000007,
2152.0,7.146339420000004,
2151.0,7.069671639999996,
2150.0,7.244976040000012,
2149.0,7.165481569999997,
2148.0,7.132270820000002,
2147.0,7.186222079999993,
2146.0,7.071254729999993,
2145.0,7.085475930000001,
2144.0,7.046047209999998,
2143.0,7.20338821,
2142.0,7.133380889999998,
2141.0,7.065460209999998,
2140.0,7.143032079999998,
2139.0,7.080787659999999,
2138.0,6.971206660000007,
2137.0,7.078651430000008,
2136.0,7.059112550000009,
2135.0,6.947216040000001,
2134.0,7.022327419999996,
2133.0,7.071750640000005,
2132.0,6.981639869999995,
2131.0,6.991493219999995,
2130.0,6.964973450000002,
2129.0,7.022392269999997,
2128.0,6.901813510000011,
2127.0,7.051898959999988,
2126.0,6.9585800099999915,
2125.0,6.921222690000008,
2124.0,7.021564479999995,
2123.0,6.929058080000004,
2122.0,6.840652460000001,
2121.0,6.998401639999997,
2120.0,6.989242560000008,
2119.0,6.8625564600000075,
2118.0,6.9427948000000015,
2117.0,7.023189540000004,
2116.0,6.84497451,
2115.0,6.894565580000005,
2114.0,6.957496649999996,
2113.0,6.883789059999998,
2112.0,6.8414573700000005,
2111.0,6.844146730000006,
2110.0,6.833847050000003,
2109.0,6.82981491000001,
2108.0,6.914188379999999,
2107.0,6.8454742400000015,
2106.0,6.716396339999989,
